x,y,cell_type,cell_class,anatomical_layer,mucosal_pseudospace
2666.736847154472,364.5922409756098,Endothelial (lymphatic),Endothelial,Submucosa,-1.0
2482.629195918368,542.3402153061224,Endothelial (capillary),Endothelial,Muscularis Propria,-1.0
2685.9107617021277,345.6227674468085,SMC (Npy2r+),Smooth Muscle,Submucosa,-1.0
2755.4535584905666,273.43350943396223,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2855.4290465753425,172.49705643835622,SMC (Tgfb3_hi),Smooth Muscle,Myenteric Plexus,-1.0
2827.9942607142857,205.96918166666663,Glia1 (Slc18a2+),ENS,Myenteric Plexus,-1.0
2602.30897375,432.21885125000006,"FB2a (submucosa, Grem1+)",Fibroblast,Submucosa,-1.0
2617.179669498069,418.371986949807,Endothelial (arterial),Endothelial,Submucosa,-1.0
2620.165059302325,408.9883344186046,T (Cd4+),Immune,Submucosa,-1.0
2763.167671428572,271.03854696428573,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2566.5024322222225,469.7874057777778,FB3 (muscularis externa),Fibroblast,Submucosa,-1.0
2734.245130069929,296.8630581118881,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2572.457562032085,461.2751110160428,ICC (deep muscular plexus),Interstitial,Submucosa,-1.0
2648.897697058824,382.6389402941176,"FB2a (submucosa, Grem1+)",Fibroblast,Submucosa,-1.0
2668.977456521739,360.70521565217393,Endothelial (lymphatic),Endothelial,Submucosa,-1.0
2772.0882615384617,264.7428615384615,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2864.622022839506,167.85861820987654,SMC (longitudinal),Smooth Muscle,Myenteric Plexus,-1.0
2858.691451428572,178.07941685714283,SMC (circular),Smooth Muscle,Myenteric Plexus,-1.0
2838.689429523809,202.48831476190475,Glia1 (Slc18a2+),ENS,Myenteric Plexus,-1.0
2462.983464827586,574.7815354482759,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2791.997411009175,245.0563488990826,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2658.089089,383.3861489,Endothelial (venous),Endothelial,Submucosa,-1.0
2700.6572885245905,342.41163590163933,"FB2b (submucosa, Emilin2+)",Fibroblast,Submucosa,-1.0
2808.1495791044777,229.11056,SMC (circular),Smooth Muscle,Myenteric Plexus,-1.0
2827.7628227941173,213.740015,FB3 (muscularis externa),Fibroblast,Myenteric Plexus,-1.0
2462.6326218934914,583.0412198816567,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2470.92876,573.6669660000001,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2872.6161294117646,167.77829411764705,SMC (longitudinal),Smooth Muscle,Myenteric Plexus,-1.0
2591.559018691589,452.6784037383177,"FB2a (submucosa, Grem1+)",Fibroblast,Submucosa,-1.0
2502.713081683168,540.2967031188119,SMC (circular),Smooth Muscle,Submucosa,-1.0
2451.627022641509,593.8824424528302,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2868.0112675000005,175.42825,SMC (circular),Smooth Muscle,Myenteric Plexus,-1.0
2578.9335708333333,465.35931291666674,Macrophage (Mrc1+),Immune,Submucosa,-1.0
2707.3693944444444,338.8866824074074,"FB2a (submucosa, Grem1+)",Fibroblast,Submucosa,-1.0
2744.5017611940298,291.6989906716417,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2549.16174,498.15729147368415,ICC (deep muscular plexus),Interstitial,Submucosa,-1.0
2687.311726428572,353.95185935714284,Endothelial (lymphatic),Endothelial,Submucosa,-1.0
2670.684206796117,374.91688553398063,Stem,Epithelial,Mucosa,0.19416362047195435
2484.773446511628,558.1468504651164,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2507.8877625,533.18517,SMC (circular),Smooth Muscle,Submucosa,-1.0
2817.030202580645,238.96081200000003,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2586.873045652174,458.0662817391304,ILC2,Immune,Submucosa,-1.0
2622.780379452055,422.7435289041096,Endothelial (venous),Endothelial,Submucosa,-1.0
2658.539938271605,390.8355392592592,Endothelial (venous),Endothelial,Submucosa,-1.0
2806.109221171171,238.19620211711717,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2871.9798827160494,175.0719438271605,SMC (longitudinal),Smooth Muscle,Myenteric Plexus,-1.0
2840.8041257575755,209.14793272727272,SMC (longitudinal),Smooth Muscle,Myenteric Plexus,-1.0
2667.194121132076,381.4278936603773,Paneth,Epithelial,Mucosa,0.17798233032226562
2685.6918353474325,366.04051697885205,Paneth,Epithelial,Submucosa,-1.0
2680.316425913622,373.5965958139534,Stem,Epithelial,Mucosa,0.1586085855960846
2482.675492105263,564.9809446052632,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2878.081782352942,173.21956803921566,SMC (Tgfb3_hi),Smooth Muscle,Myenteric Plexus,-1.0
2440.1585225806457,607.3293703225806,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2825.5988047244086,229.53353988188977,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2696.12922,351.605825882353,SMC (muscularis mucosae),Smooth Muscle,Submucosa,-1.0
2422.4787428571426,631.3412728571429,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2601.699648484848,448.0180745454545,SMC (muscularis mucosae),Smooth Muscle,Submucosa,-1.0
2692.777596666667,363.44198,Stem,Epithelial,Submucosa,-1.0
2705.0987261363634,350.3506063068182,"FB2a (submucosa, Grem1+)",Fibroblast,Submucosa,-1.0
2816.7466212121208,230.73479780303032,SMC (circular),Smooth Muscle,Myenteric Plexus,-1.0
2881.510104395604,164.5785442857143,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2691.7351362068966,357.70553741379314,"FB1b (lamina propria, bottom)",Fibroblast,Submucosa,-1.0
2834.160483636364,215.77741709090915,SMC (circular),Smooth Muscle,Myenteric Plexus,-1.0
2721.881055932203,325.38242932203383,Macrophage (Mrc1+),Immune,Mucosa,0.2931799590587616
2475.0775384353738,580.6252280612246,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2889.9749521428566,164.85313899999997,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2883.1899827586203,169.97075344827587,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2888.2660945454545,163.29157654545452,FB3 (muscularis externa),Fibroblast,Muscularis Propria,-1.0
2726.1621301724144,323.97741646551725,cDC2,Immune,Mucosa,0.2931799590587616
2748.6905636363635,306.8677912121212,"FB1b (lamina propria, bottom)",Fibroblast,Mucosa,0.27601179480552673
2577.0529150000007,475.4093195,SMC (Tgfb3_hi),Smooth Muscle,Submucosa,-1.0
2480.21883046875,570.97840109375,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2447.716925490196,612.2931696078431,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2664.1175949152544,389.234446440678,Tuft,Epithelial,Mucosa,0.131395623087883
2646.905144055944,417.9145038811188,Paneth,Epithelial,Submucosa,-1.0
2667.609527272727,392.97733159090905,Paneth,Epithelial,Mucosa,0.131395623087883
2835.4448744827587,224.1122146896552,SMC (circular),Smooth Muscle,Myenteric Plexus,-1.0
2456.3527973684213,602.5945742105263,SMC (Tgfb3_hi),Smooth Muscle,Muscularis Propria,-1.0
2672.7988,372.0254618181818,Paneth,Epithelial,Mucosa,0.17951905727386475
2729.1600548387096,320.16316483870975,SMC (Tgfb3_hi),Smooth Muscle,Mucosa,0.31179341673851013
2497.566336734694,558.6027391156463,SMC (circular),Smooth Muscle,Submucosa,-1.0
2483.71528,581.01432625,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2490.1146450450456,572.344009099099,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2711.906063559322,346.40855508474573,B (plasma),Immune,Submucosa,-1.0
2512.995377272727,544.9825795454545,ICC (deep muscular plexus),Interstitial,Submucosa,-1.0
2847.896922535212,211.51407676056343,SMC (circular),Smooth Muscle,Myenteric Plexus,-1.0
2580.326214,482.1485746,Endothelial (venous),Endothelial,Submucosa,-1.0
2541.4780436363644,523.5623963636364,Endothelial (lymphatic),Endothelial,Submucosa,-1.0
2693.061362820513,362.830577051282,Stem,Epithelial,Submucosa,-1.0
2652.082553684211,412.7734336842106,Stem,Epithelial,Submucosa,-1.0
2495.374690740741,566.7823007407408,SMC (circular),Smooth Muscle,Submucosa,-1.0
2726.028325874125,340.01201776223775,Stem,Epithelial,Mucosa,0.2931799590587616
2523.5392925,540.0059912500001,Macrophage (Lyve1+),Immune,Submucosa,-1.0
2452.550304761905,611.2623128571429,SMC (Tgfb3_hi),Smooth Muscle,Muscularis Propria,-1.0
2733.473421875,327.9988970833333,Glia2 (Gfra3+),ENS,Mucosa,0.2931799590587616
2442.9249428571425,619.3329514285714,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2677.1402408163262,380.7753430612245,Stem,Epithelial,Mucosa,0.31720170378685
2587.5318880239515,480.5490634131736,Endothelial (venous),Endothelial,Submucosa,-1.0
